note,developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
1,"Cybernate, Chris Suffern",Action,12-Jul-16,The Escapist,80,67,Super Mutant Alien Assault,3.8
2,"Cybernate, Chris Suffern",Action,12-Jul-16,Brash Games,80,67,Super Mutant Alien Assault,3.8
3,"Cybernate, Chris Suffern",Action,12-Jul-16,GameCrate,75,67,Super Mutant Alien Assault,3.8
4,"Cybernate, Chris Suffern",Action,12-Jul-16,Impulsegamer,66,67,Super Mutant Alien Assault,3.8
5,"Cybernate, Chris Suffern",Action,12-Jul-16,COGconnected,65,67,Super Mutant Alien Assault,3.8
6,"Cybernate, Chris Suffern",Action,12-Jul-16,Digitally Downloaded,50,67,Super Mutant Alien Assault,3.8
7,Telltale Games,Adventure,25-Apr-17,PlayStation Universe,70,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
8,Telltale Games,Adventure,25-Apr-17,XGN,70,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
9,Telltale Games,Adventure,25-Apr-17,PSX-Sense.nl,65,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
10,Telltale Games,Adventure,25-Apr-17,Push Square,60,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
11,Telltale Games,Adventure,25-Apr-17,CGMagazine,60,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
12,Telltale Games,Adventure,25-Apr-17,IGN Spain,60,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
13,Versus Evil,Action,22-Sep-15,Everyeye.it,35,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
14,Versus Evil,Action,22-Sep-15,PSNStores,30,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
15,Versus Evil,Action,22-Sep-15,Hardcore Gamer,30,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
16,Versus Evil,Action,22-Sep-15,We Got This Covered,30,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
17,Versus Evil,Action,22-Sep-15,CGMagazine,25,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
18,Versus Evil,Action,22-Sep-15,Digitally Downloaded,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
19,Versus Evil,Action,22-Sep-15,Multiplayer.it,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
20,Versus Evil,Action,22-Sep-15,XGN,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
21,Versus Evil,Action,22-Sep-15,Brash Games,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
22,Versus Evil,Action,22-Sep-15,ZTGD,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
23,Versus Evil,Action,22-Sep-15,GameSpot,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
24,Bethesda Game Studios,Role-Playing,14-Nov-18,Digital Chumps,83,53,Fallout 76,tbd
25,Bethesda Game Studios,Role-Playing,14-Nov-18,IGN Japan,76,53,Fallout 76,tbd
26,Bethesda Game Studios,Role-Playing,14-Nov-18,Cheat Code Central,74,53,Fallout 76,tbd
27,Bethesda Game Studios,Role-Playing,14-Nov-18,MMORPG.com,70,53,Fallout 76,tbd
28,Bethesda Game Studios,Role-Playing,14-Nov-18,We Got This Covered,70,53,Fallout 76,tbd
29,Bethesda Game Studios,Role-Playing,14-Nov-18,PlayStation Universe,70,53,Fallout 76,tbd
