developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
"Cybernate, Chris Suffern",Action,"Jul 12, 2016",The Escapist,80,67,Super Mutant Alien Assault,3.8
"Cybernate, Chris Suffern",Action,"Jul 12, 2016",Brash Games,80,67,Super Mutant Alien Assault,3.8
"Cybernate, Chris Suffern",Action,"Jul 12, 2016",GameCrate,75,67,Super Mutant Alien Assault,3.8
"Cybernate, Chris Suffern",Action,"Jul 12, 2016",Impulsegamer,66,67,Super Mutant Alien Assault,3.8
"Cybernate, Chris Suffern",Action,"Jul 12, 2016",COGconnected,65,67,Super Mutant Alien Assault,3.8
"Cybernate, Chris Suffern",Action,"Jul 12, 2016",Digitally Downloaded,50,67,Super Mutant Alien Assault,3.8
Telltale Games,Adventure,"Apr 25, 2017",PlayStation Universe,70,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
Telltale Games,Adventure,"Apr 25, 2017",XGN,70,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
Telltale Games,Adventure,"Apr 25, 2017",PSX-Sense.nl,65,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
Telltale Games,Adventure,"Apr 25, 2017",Push Square,60,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
Telltale Games,Adventure,"Apr 25, 2017",CGMagazine,60,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
Telltale Games,Adventure,"Apr 25, 2017",IGN Spain,60,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
Versus Evil,Action,"Sep 22, 2015",Everyeye.it,35,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,"Sep 22, 2015",PSNStores,30,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,"Sep 22, 2015",Hardcore Gamer,30,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,"Sep 22, 2015",We Got This Covered,30,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,"Sep 22, 2015",CGMagazine,25,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,"Sep 22, 2015",Digitally Downloaded,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,"Sep 22, 2015",Multiplayer.it,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,"Sep 22, 2015",XGN,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,"Sep 22, 2015",Brash Games,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,"Sep 22, 2015",ZTGD,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,"Sep 22, 2015",GameSpot,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Digital Chumps,83,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",IGN Japan,76,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Cheat Code Central,74,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",MMORPG.com,70,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",We Got This Covered,70,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",PlayStation Universe,70,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Gamers' Temple,70,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Everyeye.it,69,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Hobby Consolas,65,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Press Start Australia,65,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Digital Trends,60,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",God is a Geek,60,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",PlayStation LifeStyle,60,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",EGM,60,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Gameblog.fr,60,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",SpazioGames,60,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",XGN,55,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Atomix,55,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",JeuxActu,55,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Vgames,55,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",PSX-Sense.nl,50,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Hardcore Gamer,50,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Gameplanet,50,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",InsideGamer.nl,50,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Gamer.nl,50,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Twinfinite,50,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",IGN,50,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",The Digital Fix,50,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Gamers Heroes,50,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",GamesRadar+,50,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Jeuxvideo.com,50,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Cubed3,45,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",ZTGD,40,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Telegraph,40,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",PlayStation Country,40,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",GameSpot,40,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",VideoGamer,40,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Guardian,40,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",CGMagazine,40,53,Fallout 76,tbd
Bethesda Game Studios,Role-Playing,"Nov 14, 2018",Push Square,30,53,Fallout 76,tbd
Heavy Spectrum,Sci-Fi,"May 17, 2016",Areajugones,90,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",Hobby Consolas,87,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",PlayStation LifeStyle,85,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",GamingTrend,85,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",Wccftech,82,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",The Games Machine,82,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",GameOver.gr,80,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",XGN,80,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",COGconnected,80,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",ZTGD,80,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",Slant Magazine,80,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",Metro GameCentral,80,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",TheSixthAxis,80,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",USgamer,80,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",IGN Sweden,79,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",Multiplayer.it,78,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",IGN,76,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",PSX-Sense.nl,75,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",NZGamer,75,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",Merlin'in Kazanı (Turkey),75,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",LaPS4,75,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",God is a Geek,75,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",GRYOnline.pl,70,64,Shadow of the Beast,7.3
Heavy Spectrum,Sci-Fi,"May 17, 2016",Atomix,70,64,Shadow of the Beast,7.3
